PLAYER,POS,AGE,TRB,AST,STL,BLK,PTS
Luka Garza,C,25,1.2,0.2,0.2,0,4
Kaiser Gates,SF,27,1,0,0,0,0
Keyonte George,PG,20,2.8,4.4,0.5,0.1,13
Paul George,PF,33,5.2,3.5,1.5,0.5,22.6
Taj Gibson,PF,38,1.9,0.6,0.2,0.4,1.7
Josh Giddey,SG,21,6.4,4.8,0.6,0.6,12.3
Harry Giles,C,25,1.3,0.3,0.1,0.1,2.4
Shai Gilgeous-Alexander,PG,25,5.5,6.2,2,0.9,30.1
Anthony Gill,PF,31,1.9,0.7,0.3,0.2,3.8
Collin Gillespie,PG,24,0.9,1.1,0.5,0,3.6
Jacob Gilyard,PG,25,1.1,3.3,0.8,0.1,4.2
Rudy Gobert,C,31,12.9,1.3,0.7,2.1,14
Jordan Goodwin,PG,25,4.4,2.7,0.8,0.3,6.5
Aaron Gordon,PF,28,6.5,3.5,0.8,0.6,13.9
Eric Gordon,SG,35,1.8,2,1,0.4,11
Devonte' Graham,PG,28,1.6,2.1,0.4,0.1,5
Jerami Grant,PF,29,3.5,2.8,0.8,0.6,21
RaiQuan Gray,PF,24,2.3,2,0.3,0.3,7.7
A.J. Green,SG,24,1.1,0.5,0.2,0.1,4.5
Danny Green,SG,36,1,0.5,0.5,0,0
Draymond Green,PF,33,7.2,6,1,0.9,8.6
Jalen Green,SG,21,5.2,3.5,0.8,0.3,19.6
Javonte Green,SF,30,7.4,0.6,1.1,0.9,12.2
Jeff Green,PF,37,2.3,0.9,0.2,0.4,6.5
Josh Green,SG,23,3.2,2.3,0.8,0.2,8.2
AJ Griffin,SF,20,0.9,0.3,0.1,0.1,2.4
Quentin Grimes,SG,23,2,1.3,0.7,0.1,7
Mouhamadou Gueye,PF,25,2.1,0.5,0.3,1.6,2.4
Mouhamed Gueye,PF,21,3.7,0.7,0.8,0.7,4
Rui Hachimura,PF,25,4.3,1.2,0.6,0.4,13.6
Ashton Hagans,PG,24,2.4,2.8,0.6,0.5,4.2
Tyrese Haliburton,PG,23,3.9,10.9,1.2,0.7,20.1
R.J. Hampton,PG,22,0.8,1,0,0,1.3
Tim Hardaway Jr.,SF,31,3.2,1.8,0.5,0.1,14.4
James Harden,PG,34,5.1,8.5,1.1,0.8,16.6
Jaden Hardy,SG,21,1.8,1.5,0.3,0.1,7.3
Ron Harper Jr.,PF,23,0,1,0,0,0
Gary Harris,SG,29,1.7,1.6,0.9,0.3,6.9
